name;mass
Earth;0.00314647
11 Com b;19.4
11 UMi b;10.5
14 And b;5.33
14 Her b;4.64
16 Cyg B b;1.68
18 Del b;10.3
1RXS 1609 b;14
1SWASP J1407 b;20
24 Sex b;1.99
24 Sex c;0.86
2M 0103(AB) b;13
2M 0122-2439 b;20
2M 0219-3925 b;13.9
2M 044144 b;7.5
2M 0746+20 b;30
2M 1936+4603 b;1.9
2M 2140+16 b;20
2M 2206-20 b;30
2M1207 b;4
30 Ari B b;9.88
4 Uma b;7.1
42 Dra b;3.88
47 Uma b;2.53
47 Uma c;0.54
47 Uma d;1.64
51 Eri b;7
51 Peg b;0.46
55 Cnc b;0.8
55 Cnc c;0.169
55 Cnc d;3.835
55 Cnc e;0.0261775163
55 Cnc f;0.144
6 Lyn b;2.4
61 Vir b;0.016
61 Vir c;0.0573
61 Vir d;0.072
7 CMa b;2.46
70 Vir b;6.6
75 Cet b;3
8 Umi b;1.5
81 Cet b;5.3
91 Aqr b;3.2
AB Pic b;13.5
Aldebaran b;6.47
BD +48 738 b;0.91
BD+15 2940 b;1.11
BD+20 274 c;4.2
BD+49 828 b;1.6
BD-061339 b;0.027
BD-061339 c;0.17
BD-082823 b;0.045
BD-082823 c;0.33
BD-10 3166 b;0.46
BD-114672 b;0.53
BD-17 63 b;5.1
BD14 4559 b;1.47
BD20 2457 b;21.42
BD20 2457 c;12.47
CD-35 2722 b;31
CFBDS 1458 b;6.5
CHXR 73 b;12
CT Cha b;17
CoRoT-1 b;1.03
CoRoT-10 b;2.75
CoRoT-11 b;2.33
CoRoT-12 b;0.917
CoRoT-13 b;1.308
CoRoT-14 b;7.6
CoRoT-15 b;63.3
CoRoT-16 b;0.535
CoRoT-17 b;2.43
CoRoT-18 b;3.47
CoRoT-19 b;1.11
CoRoT-2 b;3.31
CoRoT-20 b;4.24
CoRoT-21 b;2.26
CoRoT-22 b;0.0383853003
CoRoT-23 b;2.8
CoRoT-24 b;0.018
CoRoT-24 c;0.088
CoRoT-25 b;0.27
CoRoT-26 b;0.52
CoRoT-27 b;10.39
CoRoT-28 b;0.484
CoRoT-29 b;0.85
CoRoT-3 b;21.77
CoRoT-33 b;59
CoRoT-4 b;0.72
CoRoT-5 b;0.467
CoRoT-6 b;2.96
CoRoT-7 b;0.0233458138
CoRoT-7 c;0.0264
CoRoT-8 b;0.2158386559
CoRoT-9 b;0.84
DE0823-49 b;31.5
DH Tau b;11
