name;orbital_period
Earth;365
11 Com b;326.03
11 UMi b;516.22
14 And b;185.84
14 Her b;1773.4
16 Cyg B b;799.5
18 Del b;993.3
1RXS 1609 b;-1
1SWASP J1407 b;3725
24 Sex b;452.8
24 Sex c;883
2M 0103(AB) b;-1
2M 0122-2439 b;-1
2M 0219-3925 b;-1
2M 044144 b;-1
2M 0746+20 b;4640
2M 1936+4603 b;416
2M 2140+16 b;7340
2M 2206-20 b;8686
2M1207 b;-1
30 Ari B b;335.1
4 Uma b;269.3
42 Dra b;479.1
47 Uma b;1078
47 Uma c;2391
47 Uma d;14002
51 Eri b;14965
51 Peg b;4.2308
55 Cnc b;14651
55 Cnc c;44.3446
55 Cnc d;5218
55 Cnc e;0.7365417
55 Cnc f;260.7
6 Lyn b;899
61 Vir b;4215
61 Vir c;38021
61 Vir d;123.01
7 CMa b;796
70 Vir b;116.67
75 Cet b;691.9
8 Umi b;93.4
81 Cet b;952.7
91 Aqr b;181.4
AB Pic b;-1
Aldebaran b;628.96
BD +48 738 b;392.6
BD+15 2940 b;137.48
BD+20 274 c;578.2
BD+49 828 b;2590
BD-061339 b;3.8728
BD-061339 c;125.94
BD-082823 b;5.6
BD-082823 c;237.6
BD-10 3166 b;3.4878
BD-114672 b;1667
BD-17 63 b;655.6
BD14 4559 b;268.94
BD20 2457 b;379.63
BD20 2457 c;621.99
CD-35 2722 b;-1
CFBDS 1458 b;14600
CHXR 73 b;-1
CT Cha b;-1
CoRoT-1 b;1.5089557
CoRoT-10 b;13.2406
CoRoT-11 b;2.994325
CoRoT-12 b;2.828042
CoRoT-13 b;4.03519
CoRoT-14 b;1.51214
CoRoT-15 b;3.06036
CoRoT-16 b;5.35227
CoRoT-17 b;3.768125
CoRoT-18 b;1.9000693
CoRoT-19 b;3.89713
CoRoT-2 b;1.7429964
CoRoT-20 b;9.24285
CoRoT-21 b;2.72474
CoRoT-22 b;9.75598
CoRoT-23 b;3.6314
CoRoT-24 b;5.1134
CoRoT-24 c;11759
CoRoT-25 b;4.86069
CoRoT-26 b;4.20474
CoRoT-27 b;3.57532
CoRoT-28 b;5.20851
CoRoT-29 b;2.85057
CoRoT-3 b;4.2567994
CoRoT-33 b;5.819143
CoRoT-4 b;9.20205
CoRoT-5 b;4.0378962
CoRoT-6 b;8.886593
CoRoT-7 b;0.853585
CoRoT-7 c;3698
CoRoT-8 b;6.21229
CoRoT-9 b;95.273804
DE0823-49 b;247.75
DH Tau b;-1
DP Leo b;10230
EPIC 201505350 b;7.919454
EPIC 201505350 c;11.90701
EPIC 201637175 b;0.381071
EPIC 2037 b;20.8851
EPIC 2037 c;42.3633
EPIC-206011691 b;9.32414
EPIC-206011691 c;15.5012
FU Tau b;-1
FW Tau b;-1
Fomalhaut b;320000
GJ 1132 b;1.62893
GJ 1214 b;1.58040482
GJ 160.2 b;5.2354
GJ 176 b;8.7836
GJ 180 b;17.38
GJ 180 c;24329
GJ 221  BD-061339 d;500
GJ 229 b;471
GJ 27.1 b;15819
GJ 3021 b;133.71
GJ 317 b;692
GJ 317 c;7300
GJ 328 b;4100
GJ 3293 b;30.6
GJ 3293 d;123.98
GJ 3341 b;14207
GJ 3470 b;3.33671
GJ 3634 b;2.64561
GJ 422 b;26161
