name;mass;radius;orbital_period;semi_major_axis;eccentricity
Earth;0.00314647;0.091130151;365;1;0.016
KIC 5522786 b;-1;0.11;757.1639;1.98;0.56
KIC 5010054 b;-1;0.62;904.24;1.86;0
HD 219134 e;0.0117;-1;1842;2.56;0.34
KIC 9662267 b;-1;0.34;466202;1.12;0.11
11 Com b;19.4;-1;326.03;1.29;0.231
11 UMi b;10.5;-1;516.22;1.54;0.08
14 And b;5.33;-1;185.84;0.83;0
14 Her b;4.64;-1;1773.4;2.77;0.369
16 Cyg B b;1.68;-1;799.5;1.68;0.689
18 Del b;10.3;-1;993.3;2.6;0.08
1RXS 1609 b;14;1.7;-1;330;-1
1SWASP J1407 b;20;-1;3725;3.9;-1
24 Sex b;1.99;-1;452.8;1333;0.09
24 Sex c;0.86;-1;883;2.08;0.29
2M 0103(AB) b;13;-1;-1;84;-1
2M 0122-2439 b;20;1;-1;52;-1
2M 0219-3925 b;13.9;1.44;-1;156;-1
2M 044144 b;7.5;-1;-1;15;-1
2M 0746+20 b;30;0.97;4640;2897;0.487
2M 1936+4603 b;1.9;-1;416;0.92;-1
2M 2140+16 b;20;0.92;7340;3.53;0.26
2M 2206-20 b;30;1.3;8686;4.48;0
2M1207 b;4;-1;-1;46;-1
30 Ari B b;9.88;-1;335.1;995;0.289
4 Uma b;7.1;-1;269.3;0.87;0.432
42 Dra b;3.88;-1;479.1;1.19;0.38
47 Uma b;2.53;-1;1078;2.1;0.032
47 Uma c;0.54;-1;2391;3.6;0.098
47 Uma d;1.64;-1;14002;11.6;0.16
51 Eri b;7;-1;14965;14;0.21
51 Peg b;0.46;1.9;4.2308;52;0.0069
55 Cnc b;0.8;-1;14651;0.1134;0.0159
55 Cnc c;169;-1;44.3446;0.2403;0.053
55 Cnc d;3835;-1;5218;5.76;0.025
55 Cnc e;0.0261775163;0.1775362254;0.7365417;0.0156;0.06
55 Cnc f;144;-1;260.7;781;0.0002
6 Lyn b;2.4;-1;899;2.2;0.134
61 Vir b;16;-1;4215;0.050201;0.12
61 Vir c;0.0573;-1;38021;0.2175;0.14
61 Vir d;72;-1;123.01;476;0.35
7 CMa b;2.46;-1;796;1.93;0.22
70 Vir b;6.6;-1;116.67;0.48;0.43
75 Cet b;3;-1;691.9;2.1;-1
8 Umi b;1.5;-1;93.4;0.49;0.06
81 Cet b;5.3;-1;952.7;2.5;0.206
91 Aqr b;3.2;-1;181.4;0.7;0.027
AB Pic b;13.5;-1;-1;275;-1
Aldebaran b;6.47;-1;628.96;1.46;0.1
BD +48 738 b;0.91;-1;392.6;1;0.2
BD+15 2940 b;1.11;-1;137.48;539;0.26
BD+20 274 c;4.2;-1;578.2;1.3;-1
BD+49 828 b;1.6;-1;2590;4.2;0.35
BD-061339 b;27;-1;3.8728;0.0428;0
BD-061339 c;0.17;-1;125.94;435;0
BD-082823 b;45;-1;5.6;56;0.15
BD-082823 c;0.33;-1;237.6;0.68;0.19
BD-10 3166 b;0.46;1.03;3.4878;46;0.0104
BD-114672 b;0.53;-1;1667;2.28;0.05
BD-17 63 b;5.1;-1;655.6;1.34;0.54
BD14 4559 b;1.47;-1;268.94;777;0.29
BD20 2457 b;21.42;-1;379.63;1.45;0.15
BD20 2457 c;12.47;-1;621.99;2.01;0.18
CD-35 2722 b;31;-1;-1;67;-1
CFBDS 1458 b;6.5;-1;14600;2.6;-1
CHXR 73 b;12;-1;-1;200;-1
CT Cha b;17;2.2;-1;440;-1
CoRoT-1 b;1.03;1.49;1.5089557;0.0254;0
CoRoT-10 b;2.75;0.97;13.2406;0.1055;0.53
CoRoT-11 b;2.33;1.43;2.994325;0.04351;0
CoRoT-12 b;917;1.44;2.828042;0.04016;0.07
CoRoT-13 b;1308;885;4.03519;51;0
CoRoT-14 b;7.6;1.09;1.51214;27;0
CoRoT-15 b;63.3;1.12;3.06036;45;0
CoRoT-16 b;535;1.17;5.35227;0.0618;0.33
CoRoT-17 b;2.43;1.02;3.768125;0.0461;0
CoRoT-18 b;3.47;1.31;1.9000693;0.0295;0.08
CoRoT-19 b;1.11;1.29;3.89713;0.0518;0.047
CoRoT-2 b;3.31;1465;1.7429964;0.0281;0
CoRoT-20 b;4.24;0.84;9.24285;0.0902;0.562
CoRoT-21 b;2.26;1.3;2.72474;0.0417;0
CoRoT-22 b;0.0383853003;0.4353652161;9.75598;92;0.077
CoRoT-23 b;2.8;1.08;3.6314;0.0477;0.16
CoRoT-24 b;18;0.33;5.1134;56;0
CoRoT-24 c;88;0.44;11759;98;0
CoRoT-25 b;0.27;1.08;4.86069;0.0578;-1
CoRoT-26 b;0.52;1.26;4.20474;0.0526;0
CoRoT-27 b;10.39;1007;3.57532;0.0476;0.065
CoRoT-28 b;484;955;5.20851;59;0.047
CoRoT-29 b;0.85;0.9;2.85057;39;0.082
CoRoT-3 b;21.77;1.01;4.2567994;57;0
CoRoT-33 b;59;1.1;5.819143;0.0579;0.07
CoRoT-4 b;0.72;1.19;9.20205;0.09;0
CoRoT-5 b;467;1.33;4.0378962;0.04947;0.09
CoRoT-6 b;2.96;1166;8.886593;0.0855;0.1
CoRoT-7 b;0.0233458138;0.1489876867;0.853585;0.0172;0
CoRoT-7 c;0.0264;-1;3698;46;0
CoRoT-8 b;0.2158386559;0.5691864915;6.21229;63;0
CoRoT-9 b;0.84;0.94;95.273804;407;0.11
DE0823-49 b;31.5;-1;247.75;0.36;0.36
DH Tau b;11;-1;-1;330;-1
DP Leo b;6.05;-1;10230;8.19;0.39
EPIC 201505350 b;-1;645;7.919454;77;0
EPIC 201505350 c;1.1;376;11.90701;103;0
EPIC 201637175 b;1.4;0.25;0.381071;0.0088;-1
EPIC 2037 b;0.0661;507;20.8851;154;0
EPIC 2037 c;27;698;42.3633;247;0
EPIC-206011691 b;-1;142;9.32414;0.0731;-1
EPIC-206011691 c;-1;171;15.5012;0.1026;-1
FU Tau b;15;-1;-1;800;-1
FW Tau b;10;-1;-1;330;-1
Fomalhaut b;3;-1;320000;115;0.11
GJ 1132 b;0.0051;103;1.62893;0.0154;0
GJ 1214 b;0.0203253312;0.2382018703;1.58040482;0.01411;0.27
GJ 160.2 b;0.0320926281;-1;5.2354;53;0.06
GJ 176 b;0.0265;-1;8.7836;66;0
GJ 180 b;0.0261145896;-1;17.38;103;0.11
GJ 180 c;0.020136551;-1;24329;129;0.09
GJ 221  BD-061339 d;91;-1;500;1.06;0.04
GJ 229 b;0.1006827549;-1;471;0.97;0.1
GJ 27.1 b;0.0409023692;-1;15819;101;0.08
GJ 3021 b;3.37;-1;133.71;0.49;0.511
GJ 317 b;1.81;-1;692;1148;0.11
GJ 317 c;2;-1;7300;30;0.81
GJ 328 b;2.3;-1;4100;4.5;0.37
GJ 3293 b;0.0812;-1;30.6;0.1434;0.09
GJ 3293 d;0.0705;-1;123.98;364;0.37
GJ 3341 b;0.35717;-1;14207;89;0.31
GJ 3470 b;0.0437340717;0.3738074294;3.33671;0.03557;-1
GJ 3634 b;22;-1;2.64561;0.0287;0.08
GJ 422 b;0.0311487273;-1;26161;119;0.05
GJ 433 b;0.01667;-1;7.3697;0.06;0.05
GJ 433 c;0.14;-1;3693;3.6;0.17
GJ 436 b;0.07;0.38;2.64394;0.02887;0.1912
GJ 504 b;4;-1;-1;43.5;-1
GJ 667C b;0.0176;-1;7.2004;0.0505;0.13
GJ 667C c;0.0119;-1;28.14;125;0.02
GJ 667C d;0.01604;-1;91.61;276;0.03
GJ 667C e;0.0085;-1;62.24;213;0.02
GJ 667C f;0.0085;-1;39026;156;0.03
GJ 667C g;0.0145;-1;256.2;549;0.08
GJ 674 b;0.04;1.13;4.6944;39;0.07
GJ 676A b;4.95;-1;1050.3;1.8;0.328
GJ 676A c;3;-1;4400;5.2;0.2
GJ 676A d;14;-1;3.6;0.0413;0.15
GJ 676A e;36;-1;35.37;187;0.24
GJ 682 b;0.0138438788;-1;17478;0.08;0.08
GJ 682 c;0.027365121;-1;57.32;176;0.1
GJ 758 b;35;-1;109000;44.8;0.564
GJ 832 b;0.6890476041;-1;3416;3.6;0.08
GJ 832 c;0.0157316805;-1;35.67;162;0.03
GJ 849 b;0.9;-1;1914;2.35;0.012
GJ 849 c;0.77;-1;7049;-1;0.218
GQ Lup b;21.5;1.8;-1;103;-1
GSC 6214-210 b;17;-1;-1;320;-1
GU Psc b;11;1.35;-1;2000;-1
Gj 163 b;0.0334;-1;8633;0.06069;0.0106
Gj 163 c;0.02285;-1;25645;0.1254;0.094
Gj 163 d;0.06945;-1;600895;1.02689;0.399
Gl 15 A b;0.0168328981;-1;11.4433;0.0717;0
Gl 179 b;0.82;-1;2288;2.41;0.21
Gl 581 b;0.05;-1;5.36865;41;0.031
Gl 581 c;17;-1;12.9182;73;0.07
Gl 581 e;0.0061;-1;3.14945;28;0.32
Gl 649 b;328;-1;598.3;1135;0.3
Gl 649 c;0.03;-1;4.4762;43;0.2
Gl 687 b;58;-1;38.14;0.16353;0.04
Gl 785 b;0.0679608596;-1;74.39;319;0.3
Gl 86 b;4.01;-1;15766;0.11;0.046
Gliese 876 b;1927;-1;61.03;0.208317;0
Gliese 876 c;637;-1;30.23;0.12959;0.002
Gliese 876 d;17;-1;1.94;0.02080665;0.081
Gliese 876 e;39;-1;124.69;0.3343;0.073
HAT-P-1 b;525;1319;4.46529976;0.05561;0.067
HAT-P-11 b;0.0824340056;0.4219830886;4.887804;53;0.198
HAT-P-12 b;0.2104898845;0.9545917648;3.2130598;0.0384;0
HAT-P-13 b;0.85;1.28;2.916243;0.0426;0.0142
HAT-P-13 c;14.28;-1;446.27;1186;0.6616
HAT-P-14 b;2.2;1.2;4.627657;0.0594;0.095
HAT-P-15 b;1946;1072;10.863502;0.0964;0.19
HAT-P-16 b;4193;1289;2.77596;0.0413;0.036
HAT-P-17 b;534;1.01;10.338523;0.0882;0.346
HAT-P-17 c;1.4;-1;1798;2.75;0.1
HAT-P-18 b;183;947;5.508029;0.0559;0.106
HAT-P-19 b;292;1132;4.008784;0.0466;0.067
HAT-P-2 b;8.74;951;5.6334729;0.0674;0.5171
HAT-P-20 b;7246;867;2.875317;0.0361;0.015
HAT-P-21 b;4063;1024;4.124461;0.0494;0.228
HAT-P-22 b;2147;1.08;3.21222;0.0414;0.016
HAT-P-23 b;2.09;1368;1.212884;0.0232;0.106
HAT-P-24 b;685;1242;3.35524;0.0465;0.067
HAT-P-25 b;567;1.19;3.652836;0.0466;0.032
HAT-P-26 b;0.0585218513;0.5647257824;4.234516;0.0479;0.124
HAT-P-27-WASP-40 b;0.66;1055;3.0395803;0.0403;0.078
HAT-P-28 b;626;1212;3.257215;0.0434;0.051
HAT-P-29 b;778;1107;5.723186;0.0667;0.095
HAT-P-3 b;591;827;2.899703;0.03866;0
HAT-P-30-WASP-51 b;711;1.34;2.810595;0.0419;0.035
HAT-P-31 b;2171;1.07;5.005425;55;0.245
HAT-P-32 b;941;2037;2.150009;0.0344;0.163
HAT-P-33 b;763;1827;3.474474;0.0503;0.148
HAT-P-34 b;3328;1107;5.452654;0.0677;0.441
HAT-P-35 b;1054;1332;3.646706;0.0498;0.025
HAT-P-36 b;1832;1264;1.327347;0.0238;0.063
HAT-P-37 b;1169;1178;2.797436;0.0379;0.058
HAT-P-38 b;267;825;4.640382;0.0523;0.067
HAT-P-39 b;599;1571;3.54387;0.0509;-1
HAT-P-4 b;0.68;1.27;3.0565114;0.0446;0
HAT-P-40 b;615;1.73;4.457243;0.0608;-1
HAT-P-41 b;0.8;1685;2.694047;0.0426;-1
HAT-P-42 b;975;1277;4.641876;0.0575;0
HAT-P-43 b;0.66;1283;3.332688;0.0443;0
HAT-P-44 b;392;1.28;4.301217;0.0507;0.072
HAT-P-44 c;1.6;-1;219.9;699;-1
HAT-P-45 b;892;1426;3.128992;0.0452;0.049
HAT-P-46 b;493;1284;4.463129;0.0577;0.123
HAT-P-46 c;2;-1;77.7;387;-1
HAT-P-49 b;1.73;1413;2.691548;0.0438;0
HAT-P-5 b;1.06;1252;2.788491;0.04079;0
HAT-P-50 b;1.35;1288;3.1220109;0.0453;0.115
HAT-P-51 b;309;1293;4.2180278;0.05069;0.123
HAT-P-52 b;818;1009;2.7535953;0.03694;0.047
HAT-P-53 b;1484;1318;1.9616241;0.03159;0.134
HAT-P-54 b;0.76;944;3.799847;0.04117;0.074
HAT-P-55 b;582;1182;3.5852467;0.04604;0.139
HAT-P-56 b;2.18;1466;2.7908327;0.0423;0.246
HAT-P-57 b;1.85;1413;2.465295;0.0406;0
HAT-P-6 b;1057;1.33;3.853003;0.05235;0
HAT-P-7 b;1741;1431;2.204735471;0.0379;0
HAT-P-8 b;1.34;1.5;3.0763402;0.0449;0
HAT-P-9 b;0.67;1.4;3.922814;53;0
HATS-1 b;1855;1302;3.446459;0.0444;0.12
HATS-10 b;526;969;3.312846;0.0449;0.5
HATS-13 b;543;1212;3.0440499;0.04057;0.18
HATS-14 b;1071;1039;2.7667641;0.03815;0.142
HATS-2 b;1345;1168;1.354133;23;0
HATS-3 b;1071;1381;3.547851;0.0485;-1
HATS-4 b;1323;1.02;2.516729;0.0362;0.013
HATS-5 b;237;912;4.763387;0.0542;0.019
HATS-6 b;319;998;3.3252725;0.03623;-1
HATS-8 b;138;873;3.583893;0.04667;0.38
HATS-9 b;837;1065;1.9153073;0.03048;0.129
HD 100655 b;1.7;-1;157.57;0.76;0.085
HD 100777 b;1.16;-1;383.7;1.03;0.36
HD 10180 c;0.041217;-1;5.75979;0.0641;0.045
HD 10180 d;0.03696945;-1;16.3579;0.1286;0.088
HD 10180 e;0.07897304;-1;49745;0.2699;0.026
HD 10180 f;0.07519743;-1;122.76;0.4929;0.135
HD 10180 g;0.06733159;-1;601.2;1422;0.19
HD 10180 h;0.202624;-1;2222;3.4;0.08
HD 101930 b;0.3;-1;70.46;302;0.11
HD 102117 b;172;-1;20.67;0.1532;0.106
HD 102195 b;0.45;-1;4.113775;49;0
HD 102272 b;5.9;-1;127.58;614;0.05
HD 102272 c;2.6;-1;520;1.57;0.68
